Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Chhattisgarh, 30-09-2019, Monthly,8.33,6490776,43.38,Rural
Chhattisgarh, 31-10-2019, Monthly,6.96,7043840,46.28,Rural
Chhattisgarh, 30-11-2019, Monthly,2.77,6942931,43.56,Rural
Chhattisgarh, 31-12-2019, Monthly,6.11,6569385,42.59,Rural
Chhattisgarh, 31-01-2020, Monthly,9.89,6236201,42.03,Rural
Chhattisgarh, 29-02-2020, Monthly,7.89,6847173,45.05,Rural
Chhattisgarh, 31-03-2020, Monthly,7.31,6894808,44.98,Rural
Chhattisgarh, 30-04-2020, Monthly,0,6534321,39.43,Rural
Chhattisgarh, 31-05-2020, Monthly,7.64,5454091,35.56,Rural
Chhattisgarh, 30-06-2020, Monthly,10.14,5781095,38.66,Rural
Delhi, 31-05-2019, Monthly,12.56,169487,42.33,Rural
Delhi, 30-06-2019, Monthly,9.33,149076,35.74,Rural
Delhi, 31-07-2019, Monthly,11.07,166605,40.53,Rural
Delhi, 31-08-2019, Monthly,17.18,135407,35.21,Rural
Delhi, 30-09-2019, Monthly,12.5,166056,40.68,Rural
Delhi, 31-10-2019, Monthly,15.84,149511,37.9,Rural
Delhi, 30-11-2019, Monthly,11.11,178768,42.71,Rural
Delhi, 31-12-2019, Monthly,16.97,145671,37.08,Rural
Delhi, 31-01-2020, Monthly,13.48,157791,38.36,Rural
Delhi, 29-02-2020, Monthly,13.81,147500,35.84,Rural
Delhi, 31-03-2020, Monthly,15.18,152413,37.45,Rural
Delhi, 30-04-2020, Monthly,20.69,115487,30.21,Rural
Delhi, 31-05-2020, Monthly,22.76,129610,34.65,Rural
Delhi, 30-06-2020, Monthly,21.14,112108,29.22,Rural
Goa, 31-05-2019, Monthly,2.91,179340,39.16,Rural
Goa, 30-06-2019, Monthly,5.45,170471,38.19,Rural
Goa, 31-07-2019, Monthly,10.98,167437,39.81,Rural
Goa, 31-08-2019, Monthly,1.98,183603,39.61,Rural
Goa, 30-09-2019, Monthly,3.61,163215,35.78,Rural
Goa, 31-10-2019, Monthly,7.21,177440,40.36,Rural
Goa, 30-11-2019, Monthly,23.71,159489,44.09,Rural
Goa, 31-12-2019, Monthly,3.54,177155,38.7,Rural
Goa, 31-01-2020, Monthly,5.38,158936,35.36,Rural
Goa, 29-02-2020, Monthly,0,171672,36.11,Rural
Goa, 30-04-2020, Monthly,15.91,181657,45.36,Rural
Goa, 31-05-2020, Monthly,20,128538,33.71,Rural
Gujarat, 31-05-2019, Monthly,2.88,13954728,52.03,Rural
Gujarat, 30-06-2019, Monthly,4.77,13199281,50.12,Rural
Gujarat, 31-07-2019, Monthly,4.58,14327083,54.21,Rural
Gujarat, 31-08-2019, Monthly,3.7,13507342,50.57,Rural
Gujarat, 30-09-2019, Monthly,6.29,13280783,51.01,Rural
Gujarat, 31-10-2019, Monthly,4.91,13828512,52.27,Rural
Gujarat, 30-11-2019, Monthly,4.68,14487815,54.55,Rural
Gujarat, 31-12-2019, Monthly,3.46,13877825,51.51,Rural
Gujarat, 31-01-2020, Monthly,5.35,14301844,54.07,Rural
Gujarat, 29-02-2020, Monthly,6.64,13973042,53.48,Rural
Gujarat, 31-03-2020, Monthly,7.59,13483615,52.06,Rural
Gujarat, 30-04-2020, Monthly,12,8587594,34.77,Rural
Gujarat, 31-05-2020, Monthly,14.58,11121124,46.31,Rural
Gujarat, 30-06-2020, Monthly,1.41,13243922,47.72,Rural
Haryana, 31-05-2019, Monthly,14.54,5249186,45.12,Rural
Haryana, 30-06-2019, Monthly,23.08,4745178,45.23,Rural
Haryana, 31-07-2019, Monthly,16.22,4826560,42.17,Rural
Haryana, 31-08-2019, Monthly,30.94,4558306,48.23,Rural
Haryana, 30-09-2019, Monthly,16.36,5127956,44.72,Rural
Haryana, 31-10-2019, Monthly,24.17,4798833,46.07,Rural
Haryana, 30-11-2019, Monthly,16.59,4875763,42.48,Rural
Haryana, 31-12-2019, Monthly,29.56,4603484,47.4,Rural
Haryana, 31-01-2020, Monthly,16.21,5062293,43.74,Rural
Haryana, 29-02-2020, Monthly,27.19,4570108,45.37,Rural
Haryana, 31-03-2020, Monthly,23.92,4366148,41.4,Rural
Haryana, 30-04-2020, Monthly,41.61,4041050,49.85,Rural
Haryana, 31-05-2020, Monthly,34.22,3914193,42.78,Rural
Haryana, 30-06-2020, Monthly,35.57,4357835,48.53,Rural
Himachal Pradesh, 31-05-2019, Monthly,13.68,2045760,44.23,Rural
Himachal Pradesh, 30-06-2019, Monthly,11.43,1957081,41.18,Rural
Himachal Pradesh, 31-07-2019, Monthly,20.59,1916824,44.91,Rural
Himachal Pradesh, 31-08-2019, Monthly,18.56,1969248,44.91,Rural
Himachal Pradesh, 30-09-2019, Monthly,15.98,2039804,45.02,Rural
Himachal Pradesh, 31-10-2019, Monthly,15.81,1946957,42.81,Rural
Himachal Pradesh, 30-11-2019, Monthly,22.86,2024409,48.5,Rural
Himachal Pradesh, 31-12-2019, Monthly,19.46,1922821,44.05,Rural
Himachal Pradesh, 31-01-2020, Monthly,16.67,2041035,45.11,Rural
Himachal Pradesh, 29-02-2020, Monthly,15.42,1952464,42.45,Rural
Himachal Pradesh, 31-03-2020, Monthly,17.71,1800426,40.17,Rural
Himachal Pradesh, 30-04-2020, Monthly,2.13,984171,18.43,Rural
Himachal Pradesh, 31-05-2020, Monthly,25.64,1732050,42.62,Rural
Himachal Pradesh, 30-06-2020, Monthly,1.12,2230075,41.2,Rural
Jammu & Kashmir, 31-05-2019, Monthly,12.78,2495186,40.57,Rural
Jammu & Kashmir, 30-06-2019, Monthly,12.09,2423742,39.02,Rural
Jammu & Kashmir, 31-07-2019, Monthly,13.67,2549316,41.71,Rural
Jammu & Kashmir, 31-08-2019, Monthly,11.32,2778624,44.17,Rural
Jammu & Kashmir, 31-10-2019, Monthly,19.27,2477621,43.08,Rural
Jammu & Kashmir, 30-11-2019, Monthly,14.73,2415724,39.69,Rural
Jammu & Kashmir, 31-01-2020, Monthly,22.19,2373488,42.56,Rural
Jammu & Kashmir, 29-02-2020, Monthly,21.23,2163397,38.25,Rural
Jammu & Kashmir, 31-03-2020, Monthly,16,2361004,39.06,Rural
Jammu & Kashmir, 31-05-2020, Monthly,2.22,2716966,38.46,Rural
Jammu & Kashmir, 30-06-2020, Monthly,18.97,2049617,34.94,Rural
Jharkhand, 31-05-2019, Monthly,7.11,7035766,39.04,Rural
Jharkhand, 30-06-2019, Monthly,8.46,7319782,41.12,Rural
Jharkhand, 31-07-2019, Monthly,9.98,6958404,39.66,Rural
Jharkhand, 31-08-2019, Monthly,12.06,7015356,40.83,Rural
Jharkhand, 30-09-2019, Monthly,7.12,7500122,41.24,Rural
Jharkhand, 31-10-2019, Monthly,6.57,7761243,42.33,Rural
Jharkhand, 30-11-2019, Monthly,8.07,7279628,40.26,Rural
Jharkhand, 31-12-2019, Monthly,15.15,6873437,41.09,Rural
Jharkhand, 31-01-2020, Monthly,6.16,7868736,42.43,Rural
Jharkhand, 29-02-2020, Monthly,9.06,7932402,44.05,Rural
Jharkhand, 31-03-2020, Monthly,5.01,7157454,37.96,Rural
Jharkhand, 30-04-2020, Monthly,41.72,4280434,36.92,Rural
Jharkhand, 31-05-2020, Monthly,55.1,3315038,37.03,Rural
Jharkhand, 30-06-2020, Monthly,21.53,6375114,40.65,Rural
Karnataka, 31-05-2019, Monthly,5.46,13911440,46.36,Rural
Karnataka, 30-06-2019, Monthly,5.98,12888490,43.12,Rural
Karnataka, 31-07-2019, Monthly,0.52,12169808,38.42,Rural
Karnataka, 31-08-2019, Monthly,0.37,12686470,39.93,Rural
Karnataka, 30-09-2019, Monthly,3.2,13741892,44.45,Rural
Karnataka, 31-10-2019, Monthly,7.13,12803527,43.1,Rural
Karnataka, 30-11-2019, Monthly,1.19,11537217,36.45,Rural
Karnataka, 31-12-2019, Monthly,0.41,12756132,39.92,Rural
Karnataka, 31-01-2020, Monthly,2.57,13938874,44.52,Rural
Karnataka, 29-02-2020, Monthly,4.11,12753657,41.33,Rural
Karnataka, 31-03-2020, Monthly,2.39,12853818,40.85,Rural
Karnataka, 30-04-2020, Monthly,33.17,9330400,43.25,Rural
Karnataka, 31-05-2020, Monthly,23.72,10626328,43.09,Rural
Karnataka, 30-06-2020, Monthly,10.92,15396213,53.37,Rural
Kerala, 31-05-2019, Monthly,6.63,5184355,38.07,Rural
Kerala, 30-06-2019, Monthly,9,5605627,42.19,Rural
Kerala, 31-07-2019, Monthly,4.95,4855393,34.96,Rural
Kerala, 31-08-2019, Monthly,10.32,5233449,39.9,Rural
Kerala, 30-09-2019, Monthly,5.35,5400499,38.97,Rural
Kerala, 31-10-2019, Monthly,9.14,5328825,40.02,Rural
Kerala, 30-11-2019, Monthly,5,4557906,32.71,Rural
Kerala, 31-12-2019, Monthly,10.77,5065804,38.67,Rural
Kerala, 31-01-2020, Monthly,4.11,5307026,37.66,Rural
Kerala, 29-02-2020, Monthly,8.91,5203579,38.84,Rural
Kerala, 31-03-2020, Monthly,8.85,4141953,30.87,Rural
Kerala, 30-04-2020, Monthly,10.71,1754170,13.33,Rural
Kerala, 31-05-2020, Monthly,23.38,3799919,33.62,Rural
Kerala, 30-06-2020, Monthly,27.66,3952088,37.01,Rural
Madhya Pradesh, 31-05-2019, Monthly,3.63,15349838,37.97,Rural
Madhya Pradesh, 30-06-2019, Monthly,4.25,16294794,40.48,Rural
Madhya Pradesh, 31-07-2019, Monthly,3.92,16274707,40.2,Rural
Madhya Pradesh, 31-08-2019, Monthly,4.94,16559137,41.25,Rural
Madhya Pradesh, 30-09-2019, Monthly,3.08,16159315,39.4,Rural
Madhya Pradesh, 31-10-2019, Monthly,2.98,17060638,41.46,Rural
Madhya Pradesh, 30-11-2019, Monthly,2.72,16306428,39.44,Rural
Madhya Pradesh, 31-12-2019, Monthly,2.94,16854647,40.77,Rural
Madhya Pradesh, 31-01-2020, Monthly,3.66,16183702,39.35,Rural
Madhya Pradesh, 29-02-2020, Monthly,4.42,16178044,39.57,Rural
Madhya Pradesh, 31-03-2020, Monthly,1.19,16480441,38.9,Rural
Madhya Pradesh, 30-04-2020, Monthly,12.5,14238959,37.88,Rural
Madhya Pradesh, 31-05-2020, Monthly,22.46,13099601,39.24,Rural
Madhya Pradesh, 30-06-2020, Monthly,6.46,16748971,41.5,Rural
Maharashtra, 31-05-2019, Monthly,3.67,23896858,47.11,Rural
Maharashtra, 30-06-2019, Monthly,4.34,23056511,45.69,Rural
Maharashtra, 31-07-2019, Monthly,3.66,24843750,48.8,Rural
Maharashtra, 31-08-2019, Monthly,3.76,26835389,52.67,Rural
Maharashtra, 30-09-2019, Monthly,4.4,25219281,49.74,Rural
Maharashtra, 31-10-2019, Monthly,3.81,24330249,47.61,Rural
Maharashtra, 30-11-2019, Monthly,3.68,24881383,48.53,Rural
Maharashtra, 31-12-2019, Monthly,3.03,26357625,50.98,Rural
Maharashtra, 31-01-2020, Monthly,3.8,25881398,50.36,Rural
Maharashtra, 29-02-2020, Monthly,4.24,25293535,49.36,Rural
Maharashtra, 31-03-2020, Monthly,5.38,23130976,45.6,Rural
Maharashtra, 30-04-2020, Monthly,25.28,15014802,37.42,Rural
Maharashtra, 31-05-2020, Monthly,16.89,18423447,41.21,Rural
Maharashtra, 30-06-2020, Monthly,9.4,23601016,48.34,Rural
Meghalaya, 31-05-2019, Monthly,3.16,1119011,66.13,Rural
Meghalaya, 30-06-2019, Monthly,4.23,1024797,61.09,Rural
Meghalaya, 31-07-2019, Monthly,1.03,1158511,66.67,Rural
Meghalaya, 31-08-2019, Monthly,0.52,1065725,60.86,Rural
Meghalaya, 30-09-2019, Monthly,0.24,1162159,66.02,Rural
Meghalaya, 31-10-2019, Monthly,3.7,1080609,63.44,Rural
Meghalaya, 30-11-2019, Monthly,1.5,1205703,69.03,Rural
Meghalaya, 31-12-2019, Monthly,1.8,1102997,63.18,Rural
Meghalaya, 31-01-2020, Monthly,0.97,1229406,69.66,Rural
Meghalaya, 29-02-2020, Monthly,2.76,1112864,64.06,Rural
Meghalaya, 31-03-2020, Monthly,1.28,1192616,67.46,Rural
Meghalaya, 30-04-2020, Monthly,8.38,803118,48.83,Rural
Meghalaya, 31-05-2020, Monthly,3.73,992148,57.26,Rural
Meghalaya, 30-06-2020, Monthly,1.35,1150200,64.63,Rural
Odisha, 31-05-2019, Monthly,4.17,11155753,40.47,Rural
Odisha, 30-06-2019, Monthly,4.71,10965154,39.94,Rural
Odisha, 31-07-2019, Monthly,3.31,12009883,43.05,Rural
Odisha, 31-08-2019, Monthly,3.68,11727659,42.13,Rural
Odisha, 30-09-2019, Monthly,4.31,11167715,40.32,Rural
Odisha, 31-10-2019, Monthly,4.28,11621534,41.88,Rural
Odisha, 30-11-2019, Monthly,4.72,12192623,44.06,Rural
Odisha, 31-12-2019, Monthly,4.67,11345069,40.91,Rural
Odisha, 31-01-2020, Monthly,1.81,11182128,39.09,Rural
Odisha, 29-02-2020, Monthly,3.31,11842655,41.98,Rural
Odisha, 31-03-2020, Monthly,15.09,9814156,39.55,Rural
Odisha, 30-04-2020, Monthly,24.48,5562449,25.16,Rural
Odisha, 31-05-2020, Monthly,9.45,9683719,36.48,Rural
Odisha, 30-06-2020, Monthly,4.59,10187145,36.36,Rural
Puducherry, 31-05-2019, Monthly,0,172474,43.08,Rural
Puducherry, 30-06-2019, Monthly,0,184527,45.95,Rural
Puducherry, 31-07-2019, Monthly,0,139227,34.56,Rural
Puducherry, 31-08-2019, Monthly,4.85,183930,47.83,Rural
Puducherry, 30-09-2019, Monthly,0,175718,43.34,Rural
Puducherry, 31-10-2019, Monthly,1.18,180283,44.85,Rural
Puducherry, 30-11-2019, Monthly,0,142787,35,Rural
Puducherry, 31-12-2019, Monthly,1.99,180808,45.07,Rural
Puducherry, 31-01-2020, Monthly,0.58,176252,43.18,Rural
Puducherry, 29-02-2020, Monthly,1.74,183619,45.38,Rural
Puducherry, 31-03-2020, Monthly,2.31,142176,35.23,Rural
Puducherry, 30-04-2020, Monthly,74.51,49420,46.79,Rural
Punjab, 31-05-2019, Monthly,9.17,6088547,44.79,Rural
Punjab, 30-06-2019, Monthly,12.21,6025235,45.79,Rural
Punjab, 31-07-2019, Monthly,9.64,6308129,46.5,Rural
Punjab, 31-08-2019, Monthly,6.69,6183427,44.08,Rural
Punjab, 30-09-2019, Monthly,8.59,6260971,45.49,Rural
Punjab, 31-10-2019, Monthly,12.56,6021921,45.66,Rural
Punjab, 30-11-2019, Monthly,7.07,6395022,45.55,Rural
Punjab, 31-12-2019, Monthly,6.13,6164215,43.4,Rural
Punjab, 31-01-2020, Monthly,9.69,6189471,45.22,Rural
Punjab, 29-02-2020, Monthly,10.41,6009820,44.19,Rural
Punjab, 31-03-2020, Monthly,10.51,6373692,46.85,Rural
Punjab, 30-04-2020, Monthly,3.69,4721590,32.2,Rural
Punjab, 31-05-2020, Monthly,40.59,3727366,41.14,Rural
Punjab, 30-06-2020, Monthly,20,5364047,43.9,Rural
Rajasthan, 31-05-2019, Monthly,4.03,15226005,38.52,Rural
Rajasthan, 30-06-2019, Monthly,13.7,14610564,41.02,Rural
Rajasthan, 31-07-2019, Monthly,9.7,14859873,39.78,Rural
Rajasthan, 31-08-2019, Monthly,12.5,15052051,41.48,Rural
Rajasthan, 30-09-2019, Monthly,5.45,15419779,39.24,Rural
Rajasthan, 31-10-2019, Monthly,14.66,15178544,42.69,Rural
Rajasthan, 30-11-2019, Monthly,10.47,15278556,40.87,Rural
Rajasthan, 31-12-2019, Monthly,13.96,15485307,43,Rural
Rajasthan, 31-01-2020, Monthly,8,15484353,40.12,Rural
Rajasthan, 29-02-2020, Monthly,14.48,15040572,41.83,Rural
Rajasthan, 31-03-2020, Monthly,9.47,15059769,39.47,Rural
Rajasthan, 30-04-2020, Monthly,12.25,13051219,35.21,Rural
Rajasthan, 31-05-2020, Monthly,10.45,15586833,41.11,Rural
Rajasthan, 30-06-2020, Monthly,13.86,16076978,43.98,Rural
Sikkim, 31-10-2019, Monthly,5.48,146688,44.06,Rural
Sikkim, 30-11-2019, Monthly,13.11,162426,53.04,Rural
Sikkim, 31-12-2019, Monthly,1,161647,46.3,Rural
Sikkim, 30-04-2020, Monthly,0,133399,37.72,Rural
Sikkim, 30-06-2020, Monthly,5.81,141313,42.36,Rural
Tamil Nadu, 31-05-2019, Monthly,0.97,15844698,49.44,Rural
Tamil Nadu, 30-06-2019, Monthly,0.92,16375303,50.99,Rural
Tamil Nadu, 31-07-2019, Monthly,6.01,16455928,53.94,Rural
Tamil Nadu, 31-08-2019, Monthly,2.91,16463931,52.17,Rural
Tamil Nadu, 30-09-2019, Monthly,1.71,14595441,45.62,Rural
Tamil Nadu, 31-10-2019, Monthly,1.46,15595647,48.55,Rural
Tamil Nadu, 30-11-2019, Monthly,2.46,16223430,50.95,Rural
Tamil Nadu, 31-12-2019, Monthly,3.73,15356938,48.8,Rural
Tamil Nadu, 31-01-2020, Monthly,1.18,14954646,46.23,Rural
Tamil Nadu, 29-02-2020, Monthly,1.17,15828488,48.86,Rural
Tamil Nadu, 31-03-2020, Monthly,6.36,15848590,51.56,Rural
Tamil Nadu, 30-04-2020, Monthly,53.19,5086200,33.05,Rural
Tamil Nadu, 31-05-2020, Monthly,38.73,5768342,28.6,Rural
Tamil Nadu, 30-06-2020, Monthly,2.06,10169115,31.49,Rural
Telangana, 31-05-2019, Monthly,2.23,11053353,61.74,Rural
Telangana, 30-06-2019, Monthly,5.92,10728822,62.19,Rural
Telangana, 31-07-2019, Monthly,2.45,11538688,64.4,Rural
Telangana, 31-08-2019, Monthly,1.4,10743959,59.23,Rural
Telangana, 30-09-2019, Monthly,5.49,12636415,72.57,Rural
Telangana, 31-10-2019, Monthly,7.29,11375354,66.49,Rural
Telangana, 30-11-2019, Monthly,6.47,11265828,65.17,Rural
Telangana, 31-12-2019, Monthly,1.35,11068056,60.61,Rural
Telangana, 31-01-2020, Monthly,5.02,12065915,68.51,Rural
Telangana, 29-02-2020, Monthly,9.02,11304474,66.92,Rural
Telangana, 31-03-2020, Monthly,5.63,12028377,68.53,Rural
Telangana, 30-04-2020, Monthly,4.51,8793799,49.44,Rural
Telangana, 31-05-2020, Monthly,34.01,7508747,61,Rural
Telangana, 30-06-2020, Monthly,19.3,8891181,58.97,Rural
Tripura, 31-05-2019, Monthly,29.25,1019549,64.47,Rural
Tripura, 30-06-2019, Monthly,26.64,1107013,67.4,Rural
Tripura, 31-07-2019, Monthly,22.47,1052597,60.54,Rural
Tripura, 31-08-2019, Monthly,25.49,975501,58.29,Rural
Tripura, 30-09-2019, Monthly,30.23,1034408,65.9,Rural
Tripura, 31-10-2019, Monthly,27.54,1113764,68.21,Rural
Tripura, 30-11-2019, Monthly,25.25,1084633,64.29,Rural
Tripura, 31-12-2019, Monthly,26.53,1046878,63.02,Rural
Tripura, 31-01-2020, Monthly,31.91,1057975,68.61,Rural
Tripura, 29-02-2020, Monthly,26.22,1169347,69.88,Rural
Tripura, 31-03-2020, Monthly,31.61,1060946,68.28,Rural
Tripura, 30-04-2020, Monthly,43.64,675083,52.63,Rural
Tripura, 31-05-2020, Monthly,14.71,911789,46.9,Rural
Tripura, 30-06-2020, Monthly,18.84,1106978,59.74,Rural
Uttar Pradesh, 31-05-2019, Monthly,10.26,43287808,39.96,Rural
Uttar Pradesh, 30-06-2019, Monthly,11.13,42276572,39.32,Rural
Uttar Pradesh, 31-07-2019, Monthly,9.19,42697000,38.78,Rural
Uttar Pradesh, 31-08-2019, Monthly,11.47,43298746,40.24,Rural
Uttar Pradesh, 30-09-2019, Monthly,6.45,44198762,38.79,Rural
Uttar Pradesh, 31-10-2019, Monthly,10.18,42833265,39.07,Rural
Uttar Pradesh, 30-11-2019, Monthly,6.94,43261530,38.01,Rural
Uttar Pradesh, 31-12-2019, Monthly,8.43,44640087,39.77,Rural
Uttar Pradesh, 31-01-2020, Monthly,6.06,45777509,39.67,Rural
Uttar Pradesh, 29-02-2020, Monthly,8.12,44257432,39.13,Rural
Uttar Pradesh, 31-03-2020, Monthly,9.37,43086706,38.53,Rural
Uttar Pradesh, 30-04-2020, Monthly,19.92,39970677,40.37,Rural
Uttar Pradesh, 31-05-2020, Monthly,16.89,38640999,37.52,Rural
Uttar Pradesh, 30-06-2020, Monthly,8.51,41908909,36.89,Rural
Uttarakhand, 31-05-2019, Monthly,1.63,2108044,37.47,Rural
Uttarakhand, 30-06-2019, Monthly,4.65,2021553,37.01,Rural
Uttarakhand, 31-07-2019, Monthly,5.74,2000524,36.97,Rural
Uttarakhand, 31-08-2019, Monthly,6.11,1911380,35.39,Rural
Uttarakhand, 30-09-2019, Monthly,3.47,2157845,38.79,Rural
Uttarakhand, 31-10-2019, Monthly,4.83,2027662,36.9,Rural
Uttarakhand, 30-11-2019, Monthly,5.56,2007113,36.73,Rural
Uttarakhand, 31-12-2019, Monthly,4.52,1947566,35.19,Rural
Uttarakhand, 31-01-2020, Monthly,4.17,1986386,35.69,Rural
Uttarakhand, 29-02-2020, Monthly,4.85,2057523,37.16,Rural
Uttarakhand, 30-04-2020, Monthly,3.66,1972074,35.04,Rural
Uttarakhand, 31-05-2020, Monthly,3.57,1915482,33.94,Rural
Uttarakhand, 30-06-2020, Monthly,10.71,1675441,32,Rural
West Bengal, 31-05-2019, Monthly,6.02,23452875,46.41,Rural
West Bengal, 30-06-2019, Monthly,5.85,25543465,50.36,Rural
West Bengal, 31-07-2019, Monthly,5.62,24857807,48.78,Rural
West Bengal, 31-08-2019, Monthly,5.58,24924827,48.79,Rural
West Bengal, 30-09-2019, Monthly,5.26,25610773,49.87,Rural
West Bengal, 31-10-2019, Monthly,6.78,24353018,48.09,Rural
West Bengal, 30-11-2019, Monthly,5.83,25630359,50,Rural
West Bengal, 31-12-2019, Monthly,5.79,24906239,48.47,Rural
West Bengal, 31-01-2020, Monthly,6.79,24612171,48.3,Rural
West Bengal, 29-02-2020, Monthly,3.78,26093009,49.51,Rural
West Bengal, 31-03-2020, Monthly,7.02,25097812,49.18,Rural
West Bengal, 30-04-2020, Monthly,18.32,17639370,39.27,Rural
West Bengal, 31-05-2020, Monthly,18.43,19115772,42.53,Rural
West Bengal, 30-06-2020, Monthly,4.94,21225887,40.44,Rural
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Andhra Pradesh, 31-05-2019,Monthly,6.09,4788661,37.45,Urban
Andhra Pradesh, 30-06-2019,Monthly,3.8,4824630,36.76,Urban
Andhra Pradesh, 31-07-2019,Monthly,5.64,4657443,36.1,Urban
Andhra Pradesh, 31-08-2019,Monthly,4.61,4743179,36.29,Urban
Andhra Pradesh, 30-09-2019,Monthly,6.01,4733996,36.69,Urban
Andhra Pradesh, 31-10-2019,Monthly,4.7,4774377,36.41,Urban
Andhra Pradesh, 30-11-2019,Monthly,7.54,4668772,36.62,Urban
Andhra Pradesh, 31-12-2019,Monthly,7.88,4913963,38.61,Urban
Andhra Pradesh, 31-01-2020,Monthly,7.11,4618860,35.91,Urban
Andhra Pradesh, 29-02-2020,Monthly,5.66,4822035,36.84,Urban
Andhra Pradesh, 31-03-2020,Monthly,9.88,4521537,36.08,Urban
Andhra Pradesh, 30-04-2020,Monthly,32.3,2544084,26.97,Urban
Andhra Pradesh, 31-05-2020,Monthly,24.91,3428356,32.69,Urban
Andhra Pradesh, 30-06-2020,Monthly,5.86,4954389,37.61,Urban
Assam, 31-05-2019,Monthly,7.87,1671707,44.92,Urban
Assam, 30-06-2019,Monthly,9.89,1647342,45.17,Urban
Assam, 31-07-2019,Monthly,3.21,1739838,44.32,Urban
Assam, 31-08-2019,Monthly,10.39,1595582,43.81,Urban
Assam, 30-09-2019,Monthly,9.26,1576480,42.66,Urban
Assam, 31-10-2019,Monthly,11.17,1595176,44.01,Urban
Assam, 30-11-2019,Monthly,6.31,1708045,44.59,Urban
Assam, 31-12-2019,Monthly,5.02,1722303,44.26,Urban
Assam, 31-01-2020,Monthly,7.24,1630908,42.82,Urban
Assam, 29-02-2020,Monthly,9.98,1625454,43.9,Urban
Assam, 31-03-2020,Monthly,10.34,1664145,45.03,Urban
Assam, 30-04-2020,Monthly,8.37,1454956,38.45,Urban
Assam, 31-05-2020,Monthly,10.77,1441722,39.04,Urban
Assam, 30-06-2020,Monthly,3.42,1551007,38.73,Urban
Bihar, 31-05-2019,Monthly,19.9,3029344,39.8,Urban
